year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2022,53,2543509,Allen Robinson,WR,PIT,5,The Najee Trois,Benjy,8.0,auction,2025-07-01T16:39:21.224285
2022,54,2562377,Josh Jacobs,RB,LV,6,Koo D'etat,Alexander,24.0,auction,2025-07-01T16:39:21.224426
2022,55,2564136,Michael Pittman,WR,IND,7,Ja'marroquai,Zach,19.0,auction,2025-07-01T16:39:21.224577
2022,56,2562378,T.J. Hockenson,TE,MIN,8,Bot boy,Nick,7.0,auction,2025-07-01T16:39:21.224759
2022,57,2558149,JuJu Smith-Schuster,WR,NE,9,Magnum TI,Kyle,8.0,auction,2025-07-01T16:39:21.224907
2022,58,2540258,Travis Kelce,TE,KC,10,Tom and Terry,Cole,39.0,auction,2025-07-01T16:39:21.225049
2022,59,2562379,Marquise Brown,WR,ARI,11,JJ the Jet Plane,Jake,12.0,auction,2025-07-01T16:39:21.225197
2022,60,2560711,Chase Edmonds,RB,TB,12,Mad Mixon,James,9.0,auction,2025-07-01T16:39:21.225361
2022,61,2560888,Courtland Sutton,WR,DEN,1,The Wrath of Quon,Matt,14.0,auction,2025-07-01T16:39:21.225541
2022,62,2560835,Rashaad Penny,RB,PHI,2,Chubbinator 2 Judgment Day,Ryan,18.0,auction,2025-07-01T16:39:21.225706
2022,63,2556370,Michael Thomas,WR,NO,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:21.225854
2022,64,2558105,Chris Godwin,WR,TB,4,Super Lamario Sunshine,Craig,10.0,auction,2025-07-01T16:39:21.225989
2022,65,2566382,Michael Carter,RB,NYJ,5,The Najee Trois,Benjy,6.0,auction,2025-07-01T16:39:21.226139
2022,66,2562238,A.J. Brown,WR,PHI,6,Koo D'etat,Alexander,22.0,auction,2025-07-01T16:39:21.226313
2022,67,2566292,Jaylen Waddle,WR,MIA,7,Ja'marroquai,Zach,13.0,auction,2025-07-01T16:39:21.226477
2022,68,2543488,Jarvis Landry,WR,NO,8,Bot boy,Nick,,auction,2025-07-01T16:39:21.226634
2022,69,2567250,Drake London,WR,ATL,9,Magnum TI,Kyle,6.0,auction,2025-07-01T16:39:21.226795
2022,70,2504211,Tom Brady,QB,TB,10,Tom and Terry,Cole,16.0,auction,2025-07-01T16:39:21.226952
2022,71,2565093,Brandon Aiyuk,WR,SF,11,JJ the Jet Plane,Jake,4.0,auction,2025-07-01T16:39:21.227113
2022,72,2563707,Darnell Mooney,WR,CHI,12,Mad Mixon,James,11.0,auction,2025-07-01T16:39:21.227255
2022,73,2560995,Dallas Goedert,TE,PHI,1,The Wrath of Quon,Matt,11.0,auction,2025-07-01T16:39:21.227394
2022,74,2543498,Brandin Cooks,WR,DAL,2,Chubbinator 2 Judgment Day,Ryan,17.0,auction,2025-07-01T16:39:21.227541
2022,75,2560787,Allen Lazard,WR,NYJ,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:21.227705
2022,76,2540165,DeAndre Hopkins,WR,ARI,4,Super Lamario Sunshine,Craig,2.0,auction,2025-07-01T16:39:21.227869
2022,77,2553728,Raheem Mostert,RB,MIA,5,The Najee Trois,Benjy,5.0,auction,2025-07-01T16:39:21.228023
2022,78,2565045,Justin Herbert,QB,LAC,6,Koo D'etat,Alexander,21.0,auction,2025-07-01T16:39:21.228195
2022,79,2555341,Hunter Henry,TE,NE,7,Ja'marroquai,Zach,6.0,auction,2025-07-01T16:39:21.228362
2022,80,2552409,DeVante Parker,WR,NE,8,Bot boy,Nick,2.0,auction,2025-07-01T16:39:21.228518
2022,81,2560957,Mark Andrews,TE,BAL,9,Magnum TI,Kyle,37.0,auction,2025-07-01T16:39:21.228681
2022,82,2563896,Jerry Jeudy,WR,DEN,10,Tom and Terry,Cole,14.0,auction,2025-07-01T16:39:21.228850
2022,83,2557986,David Njoku,TE,CLE,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:21.229019
2022,84,2562681,Dawson Knox,TE,BUF,12,Mad Mixon,James,6.0,auction,2025-07-01T16:39:21.229234
